"DATE","Tier","HPI"
1993-01-01,"High",64.99
1993-02-01,"High",65.05
1993-03-01,"High",65.27
1993-04-01,"High",65.2
1993-05-01,"High",65.34
1993-06-01,"High",65.59
1993-07-01,"High",66.09
1993-08-01,"High",66.32
1993-09-01,"High",66.48
1993-10-01,"High",66.38
1993-11-01,"High",67
1993-12-01,"High",67.49
1994-01-01,"High",67.97
1994-02-01,"High",68.17
1994-03-01,"High",68.57
1994-04-01,"High",69.2
1994-05-01,"High",69.11
1994-06-01,"High",69.38
1994-07-01,"High",69.33
1994-08-01,"High",69.44
1994-09-01,"High",69.84
1994-10-01,"High",70.13
1994-11-01,"High",70.69
1994-12-01,"High",70.6
1995-01-01,"High",70.82
1995-02-01,"High",71.04
1995-03-01,"High",71.24
1995-04-01,"High",70.76
1995-05-01,"High",70.93
1995-06-01,"High",71.19
1995-07-01,"High",71.52
1995-08-01,"High",71.74
1995-09-01,"High",71.78
1995-10-01,"High",71.71
1995-11-01,"High",71.76
1995-12-01,"High",71.73
1996-01-01,"High",72.24
1996-02-01,"High",72.6
1996-03-01,"High",73.26
1996-04-01,"High",73.3
1996-05-01,"High",73.3
1996-06-01,"High",73.66
1996-07-01,"High",73.96
1996-08-01,"High",74.63
1996-09-01,"High",74.66
1996-10-01,"High",75.09
1996-11-01,"High",75.3
1996-12-01,"High",75.94
1997-01-01,"High",76.25
1997-02-01,"High",76.49
1997-03-01,"High",77.26
1997-04-01,"High",77.77
1997-05-01,"High",78.05
1997-06-01,"High",78.24
1997-07-01,"High",78.61
1997-08-01,"High",79.01
1997-09-01,"High",79.44
1997-10-01,"High",80.01
1997-11-01,"High",80.67
1997-12-01,"High",81.35
1998-01-01,"High",81.78
1998-02-01,"High",82.41
1998-03-01,"High",83.01
1998-04-01,"High",83.63
1998-05-01,"High",84.45
1998-06-01,"High",85.35
1998-07-01,"High",86.18
1998-08-01,"High",86.91
1998-09-01,"High",87.82
1998-10-01,"High",88.18
1998-11-01,"High",88.48
1998-12-01,"High",89.14
1999-01-01,"High",90.6
1999-02-01,"High",92.18
1999-03-01,"High",92.58
1999-04-01,"High",93.1
1999-05-01,"High",94.19
1999-06-01,"High",94.96
1999-07-01,"High",95.82
1999-08-01,"High",96.35
1999-09-01,"High",97.31
1999-10-01,"High",98.35
1999-11-01,"High",99.47
1999-12-01,"High",100.14
2000-01-01,"High",101.05
2000-02-01,"High",102.12
2000-03-01,"High",102.92
2000-04-01,"High",104.92
2000-05-01,"High",106.55
2000-06-01,"High",108.45
2000-07-01,"High",108.97
2000-08-01,"High",110.05
2000-09-01,"High",110.94
