,DATE,Seasonality,Metro,Tier,HPI
0,1993-01-01,NSA,Atlanta,High,72.95
1,1993-02-01,NSA,Atlanta,High,72.42
2,1993-03-01,NSA,Atlanta,High,72.61
3,1993-04-01,NSA,Atlanta,High,73.03
4,1993-05-01,NSA,Atlanta,High,73.6
5,1993-06-01,NSA,Atlanta,High,74.12
6,1993-07-01,NSA,Atlanta,High,74.57
7,1993-08-01,NSA,Atlanta,High,74.84
8,1993-09-01,NSA,Atlanta,High,75.12
9,1993-10-01,NSA,Atlanta,High,75.1
10,1993-11-01,NSA,Atlanta,High,75.05
11,1993-12-01,NSA,Atlanta,High,75.27
12,1994-01-01,NSA,Atlanta,High,75.82
13,1994-02-01,NSA,Atlanta,High,76.22
14,1994-03-01,NSA,Atlanta,High,76.49
15,1994-04-01,NSA,Atlanta,High,76.42
16,1994-05-01,NSA,Atlanta,High,77.0
17,1994-06-01,NSA,Atlanta,High,77.52
18,1994-07-01,NSA,Atlanta,High,77.83
19,1994-08-01,NSA,Atlanta,High,77.98
20,1994-09-01,NSA,Atlanta,High,77.97
21,1994-10-01,NSA,Atlanta,High,78.37
22,1994-11-01,NSA,Atlanta,High,78.81
23,1994-12-01,NSA,Atlanta,High,79.39
24,1995-01-01,NSA,Atlanta,High,79.53
25,1995-02-01,NSA,Atlanta,High,79.43
26,1995-03-01,NSA,Atlanta,High,79.34
27,1995-04-01,NSA,Atlanta,High,79.29
28,1995-05-01,NSA,Atlanta,High,79.26
29,1995-06-01,NSA,Atlanta,High,79.34
30,1995-07-01,NSA,Atlanta,High,79.81
31,1995-08-01,NSA,Atlanta,High,80.38
32,1995-09-01,NSA,Atlanta,High,80.66
33,1995-10-01,NSA,Atlanta,High,80.75
34,1995-11-01,NSA,Atlanta,High,80.74
35,1995-12-01,NSA,Atlanta,High,81.01
36,1996-01-01,NSA,Atlanta,High,81.42
37,1996-02-01,NSA,Atlanta,High,81.71
38,1996-03-01,NSA,Atlanta,High,81.74
39,1996-04-01,NSA,Atlanta,High,81.95
40,1996-05-01,NSA,Atlanta,High,82.24
41,1996-06-01,NSA,Atlanta,High,82.87
42,1996-07-01,NSA,Atlanta,High,82.95
43,1996-08-01,NSA,Atlanta,High,83.35
44,1996-09-01,NSA,Atlanta,High,83.58
45,1996-10-01,NSA,Atlanta,High,83.83
46,1996-11-01,NSA,Atlanta,High,83.98
47,1996-12-01,NSA,Atlanta,High,83.64
48,1997-01-01,NSA,Atlanta,High,83.76
49,1997-02-01,NSA,Atlanta,High,83.64
50,1997-03-01,NSA,Atlanta,High,84.14
51,1997-04-01,NSA,Atlanta,High,84.68
52,1997-05-01,NSA,Atlanta,High,85.39
53,1997-06-01,NSA,Atlanta,High,85.81
54,1997-07-01,NSA,Atlanta,High,86.07
55,1997-08-01,NSA,Atlanta,High,86.05
56,1997-09-01,NSA,Atlanta,High,86.49
57,1997-10-01,NSA,Atlanta,High,86.74
58,1997-11-01,NSA,Atlanta,High,87.19
59,1997-12-01,NSA,Atlanta,High,87.48
60,1998-01-01,NSA,Atlanta,High,87.79
61,1998-02-01,NSA,Atlanta,High,88.07
62,1998-03-01,NSA,Atlanta,High,88.6
63,1998-04-01,NSA,Atlanta,High,89.58
64,1998-05-01,NSA,Atlanta,High,90.41
65,1998-06-01,NSA,Atlanta,High,91.17
66,1998-07-01,NSA,Atlanta,High,91.22
67,1998-08-01,NSA,Atlanta,High,91.41
68,1998-09-01,NSA,Atlanta,High,91.68
69,1998-10-01,NSA,Atlanta,High,92.43
70,1998-11-01,NSA,Atlanta,High,93.14
71,1998-12-01,NSA,Atlanta,High,93.45
