"date","employment","county","state"
"Jan.1990",150038,"Albany County","New York"
"Nov.2004",152630,"Albany County","New York"
"Jul.2003",153062,"Albany County","New York"
"Apr.2010",152247,"Albany County","New York"
"Sep.2015",150327,"Albany County","New York"
"Nov.2000",148707,"Albany County","New York"
"Feb.1994",149424,"Albany County","New York"
"Jun.1991",153814,"Albany County","New York"
"Apr.2006",153054,"Albany County","New York"
"Nov.1996",152567,"Albany County","New York"
"Sep.2011",146874,"Albany County","New York"
"May.2010",151807,"Albany County","New York"
"Apr.2002",150951,"Albany County","New York"
"Nov.1992",149645,"Albany County","New York"
"Sep.2007",152246,"Albany County","New York"
"Jul.1991",154384,"Albany County","New York"
"Apr.1998",154479,"Albany County","New York"
"Sep.2003",149873,"Albany County","New York"
"Feb.2009",148579,"Albany County","New York"
"Apr.1994",148603,"Albany County","New York"
"May.2002",151459,"Albany County","New York"
"Dec.1992",149412,"Albany County","New York"
"Sep.1999",153341,"Albany County","New York"
"Apr.1990",152450,"Albany County","New York"
"Feb.2005",150325,"Albany County","New York"
"Jul.2010",151906,"Albany County","New York"
"Sep.1995",149210,"Albany County","New York"
"Dec.2015",151649,"Albany County","New York"
"Feb.2001",147998,"Albany County","New York"
"Jan.1993",146275,"Albany County","New York"
"Sep.1991",149163,"Albany County","New York"
"Feb.1997",150986,"Albany County","New York"
"Dec.2011",146816,"Albany County","New York"
"Aug.2010",151855,"Albany County","New York"
"Oct.1995",150529,"Albany County","New York"
"Jul.2002",153857,"Albany County","New York"
"Feb.1993",147079,"Albany County","New York"
"Jul.1998",157697,"Albany County","New York"
"May.2013",151631,"Albany County","New York"
"Mar.1997",152797,"Albany County","New York"
"Dec.2003",150680,"Albany County","New York"
"May.2009",149240,"Albany County","New York"
"Jul.1994",153877,"Albany County","New York"
"Aug.2002",154832,"Albany County","New York"
"Dec.1999",153838,"Albany County","New York"
"Oct.2014",151153,"Albany County","New York"
"Jul.1990",157835,"Albany County","New York"
"May.2005",152588,"Albany County","New York"
"Oct.2010",149082,"Albany County","New York"
"Mar.2016",152575,"Albany County","New York"
"May.2001",149153,"Albany County","New York"
"Sep.2002",153132,"Albany County","New York"
"Jan.2000",147868,"Albany County","New York"
"Dec.1991",147172,"Albany County","New York"
"May.1997",154512,"Albany County","New York"
"Oct.2002",152825,"Albany County","New York"
"Nov.2010",148586,"Albany County","New York"
"Apr.2016",151833,"Albany County","New York"
"Jun.2001",151236,"Albany County","New York"
"May.1993",150388,"Albany County","New York"
"Oct.1998",154799,"Albany County","New York"
"Aug.2013",151390,"Albany County","New York"
"Mar.2004",149560,"Albany County","New York"
"Nov.2002",151252,"Albany County","New York"
"Aug.2009",149398,"Albany County","New York"
"Oct.1994",151798,"Albany County","New York"
"Jul.2001",151647,"Albany County","New York"
"Mar.2000",147684,"Albany County","New York"
"Oct.1990",153517,"Albany County","New York"
"Aug.2005",156395,"Albany County","New York"
"Apr.2004",150839,"Albany County","New York"
"Jan.2011",145919,"Albany County","New York"
"Jun.2016",153037,"Albany County","New York"
"Aug.2001",150890,"Albany County","New York"
"Mar.1992",146670,"Albany County","New York"
"Jan.2007",151440,"Albany County","New York"
"Nov.1990",152400,"Albany County","New York"
"Aug.1997",157155,"Albany County","New York"
"Jan.2003",149756,"Albany County","New York"
"Feb.2011",146527,"Albany County","New York"
"Jul.2016",NA,"Albany County","New York"
"Aug.1993",153436,"Albany County","New York"
"Jun.2008",155489,"Albany County","New York"
"Jan.1999",153235,"Albany County","New York"
"Nov.2013",150108,"Albany County","New York"
"Jun.2004",153724,"Albany County","New York"
"Nov.2009",146327,"Albany County","New York"
"Jan.1995",151376,"Albany County","New York"
"Aug.2016",NA,"Albany County","New York"
"Sep.1993",148501,"Albany County","New York"
"Jun.2000",151266,"Albany County","New York"
"Jan.1991",149913,"Albany County","New York"
"Jun.1996",152585,"Albany County","New York"
"Apr.2011",147857,"Albany County","New York"
"Dec.2009",143720,"Albany County","New York"
"Sep.2016",NA,"Albany County","New York"
"Nov.2001",149912,"Albany County","New York"
"Jun.1992",151526,"Albany County","New York"
"Apr.2007",151151,"Albany County","New York"
"Nov.1997",155329,"Albany County","New York"
"Sep.2012",149571,"Albany County","New York"
"Apr.2003",151132,"Albany County","New York"
